date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-01-01,29.129999,28.459999,26.66,24.48,24.01,15.88,15.87,22.040001,25.42,32.209999,41.34,43.509998,43.02,44.290001,46.240002,50.610001,59.470001,64.989998,61.740002,55.07,48.009998,44.009998,45.200001,38.0
2024-01-02,38.0,33.560001,32.029999,32.290001,36.700001,41.720001,49.18,58.75,65.669998,66.110001,68.980003,73.540001,78.160004,78.870003,79.239998,79.959999,81.459999,80.919998,74.949997,63.18,57.110001,48.040001,40.0,30.0
2024-01-03,20.0,15.87,15.88,15.88,15.94,20.040001,49.439999,53.529999,63.48,64.989998,60.189999,59.959999,59.799999,58.860001,64.989998,68.830002,73.589996,82.279999,82.970001,79.029999,73.230003,67.410004,65.0,58.119999
2024-01-04,58.709999,53.599998,54.439999,55.18,58.25,59.150002,72.650002,85.019997,91.470001,94.199997,91.980003,90.400002,86.690002,85.959999,92.110001,98.620003,105.730003,133.229996,144.649994,125.0,103.589996,100.010002,94.860001,88.830002
2024-01-05,88.830002,83.089996,80.0,80.169998,82.489998,88.139999,109.790001,165.009995,299.01001,249.119995,255.860001,211.110001,203.279999,196.979996,197.860001,299.940002,449.640015,526.25,349.950012,181.910004,149.600006,112.82,100.099998,92.870003
2024-01-06,84.879997,83.199997,82.029999,82.18,82.529999,84.129997,84.480003,87.43,90.870003,94.980003,100.410004,103.650002,102.330002,97.75,95.510002,98.5,110.0,118.269997,106.940002,102.269997,94.980003,90.629997,89.339996,82.800003
2024-01-07,86.150002,82.459999,79.220001,77.529999,76.889999,77.419998,78.449997,80.370003,84.209999,87.57,89.75,91.989998,91.5,87.519997,87.230003,90.639999,96.209999,104.269997,106.089996,103.550003,100.5,93.309998,91.169998,83.860001
2024-01-08,87.019997,84.32,81.82,79.110001,78.480003,82.099998,94.300003,111.220001,121.110001,120.730003,113.900002,105.540001,97.839996,94.879997,102.459999,110.639999,128.0,132.309998,130.009995,122.120003,114.209999,102.830002,99.980003,91.489998
2024-01-09,88.160004,87.040001,85.0,84.139999,85.720001,89.279999,108.510002,124.059998,133.25,120.910004,113.190002,105.779999,100.220001,100.82,112.360001,121.089996,130.990005,137.949997,137.800003,130.429993,120.239998,111.68,106.18,97.089996
2024-01-10,89.290001,86.760002,86.730003,86.089996,86.300003,89.050003,108.879997,129.399994,143.0,130.389999,121.470001,109.129997,102.209999,108.199997,115.68,123.800003,134.639999,143.789993,140.0,132.149994,120.0,109.760002,104.489998,96.029999
2024-01-11,91.75,88.589996,87.25,82.379997,81.949997,89.360001,102.07,116.860001,141.0,129.160004,113.650002,106.480003,99.379997,99.0,105.980003,117.959999,137.350006,150.089996,136.690002,132.309998,118.949997,107.190002,100.0,97.220001
