Scenario_ID,Probability,Hour,Wind_MW,DA_Price,SI_State,Bal_Price
1,0.0006569321269670631,1,335.56550000000004,28.610001,0,24.31850085
1,0.0006569321269670631,2,318.69750000000005,25.17,1,31.462500000000002
1,0.0006569321269670631,3,307.8345,20.639999,1,25.79999875
1,0.0006569321269670631,4,304.031,18.82,1,23.525
1,0.0006569321269670631,5,304.61650000000003,17.85,0,15.172500000000001
1,0.0006569321269670631,6,300.488,19.549999,0,16.61749915
1,0.0006569321269670631,7,294.9375,25.5,0,21.675
1,0.0006569321269670631,8,301.6575,38.73,1,48.412499999999994
1,0.0006569321269670631,9,319.322,50.07,1,62.5875
1,0.0006569321269670631,10,343.2035,49.540001,1,61.925001249999994
1,0.0006569321269670631,11,359.894,50.099998,0,42.584998299999995
1,0.0006569321269670631,12,362.8715,50.759998,1,63.4499975
1,0.0006569321269670631,13,364.218,39.34,1,49.175000000000004
1,0.0006569321269670631,14,358.007,37.34,0,31.739
1,0.0006569321269670631,15,346.5025,45.040001,0,38.28400085
1,0.0006569321269670631,16,337.559,49.950001,0,42.45750085
1,0.0006569321269670631,17,327.825,50.799999,0,43.17999915
1,0.0006569321269670631,18,321.252,54.209999,1,67.76249875
1,0.0006569321269670631,19,318.9015,53.32,0,45.321999999999996
1,0.0006569321269670631,20,319.546,50.09,0,42.5765
1,0.0006569321269670631,21,298.566,42.18,1,52.725
1,0.0006569321269670631,22,275.65250000000003,40.040001,0,34.03400085
1,0.0006569321269670631,23,252.5675,42.009998,0,35.7084983
1,0.0006569321269670631,24,228.775,38.529999,0,32.750499149999996
2,0.0006569321269670631,1,335.56550000000004,28.610001,0,24.31850085
2,0.0006569321269670631,2,318.69750000000005,25.17,1,31.462500000000002
2,0.0006569321269670631,3,307.8345,20.639999,0,17.543999149999998
2,0.0006569321269670631,4,304.031,18.82,1,23.525
2,0.0006569321269670631,5,304.61650000000003,17.85,1,22.3125
2,0.0006569321269670631,6,300.488,19.549999,0,16.61749915
2,0.0006569321269670631,7,294.9375,25.5,1,31.875
2,0.0006569321269670631,8,301.6575,38.73,0,32.9205
2,0.0006569321269670631,9,319.322,50.07,0,42.5595
2,0.0006569321269670631,10,343.2035,49.540001,1,61.925001249999994
2,0.0006569321269670631,11,359.894,50.099998,1,62.6249975
